Count,Agent Name,Description,Severity Level
1,sushant-VirtualBox,Auditd: SELinux permission check.,7.0
2,sushant-VirtualBox,Systemd: Service exited due to a failure.,2.0
3,telaverge,Listened ports status (netstat) changed (new port opened or closed).,3.5
4,sushant-VirtualBox,Listened ports status (netstat) changed (new port opened or closed).,3.5
5,sushant-VirtualBox,PAM: Login session opened.,4.0
6,sushant-VirtualBox,PAM: Login session opened.,4.0
7,Subhankar-Virtualbox,PAM: Login session opened.,4.0
8,Subhankar-Virtualbox,Wazuh agent started.,2.0
9,telaverge,Host-based anomaly detection event (rootcheck).,6.0
10,telaverge,Host-based anomaly detection event (rootcheck).,6.0
11,telaverge,Host-based anomaly detection event (rootcheck).,6.0
12,sushant-VirtualBox,Systemd: Service exited due to a failure.,2.0
13,sushant-VirtualBox,Systemd: Service exited due to a failure.,2.0
14,sushant-VirtualBox,USB device disconnected,4.7
15,sushant-VirtualBox,Integrity checksum changed.,7.5
16,sushant-VirtualBox,Integrity checksum changed.,7.5
17,sushant-VirtualBox,Integrity checksum changed.,7.5
18,telaverge,PAM: Login session opened.,4.0
19,telaverge,sshd: authentication success.,8.8
20,Subhankar-Virtualbox,PAM: Login session opened.,4.0
21,Subhankar-Virtualbox,Apparmor DENIED,5.0
22,sushant-VirtualBox,Host-based anomaly detection event (rootcheck).,6.0
23,sushant-VirtualBox,Host-based anomaly detection event (rootcheck).,6.0
24,telaverge,Host-based anomaly detection event (rootcheck).,6.0
25,telaverge,Host-based anomaly detection event (rootcheck).,6.0
26,Subhankar-Virtualbox,USB device disconnected,4.7
27,Subhankar-Virtualbox,USB device disconnected,4.7
28,Subhankar-Virtualbox,USB device disconnected,4.7
29,telaverge,Integrity checksum changed.,7.5
30,telaverge,Integrity checksum changed.,7.5
31,telaverge,Integrity checksum changed.,7.5
32,telaverge,Integrity checksum changed.,7.5
33,telaverge,File deleted.,8.0
34,telaverge,File added to the system.,8.3
35,telaverge,File added to the system.,8.3
36,telaverge,New dpkg (Debian Package) requested to install.,7.3
37,telaverge,New dpkg (Debian Package) requested to install.,7.3
38,telaverge,Dpkg (Debian Package) half configured.,7.3
39,telaverge,Dpkg (Debian Package) half configured.,7.3
40,telaverge,File deleted.,8.0
41,telaverge,Integrity checksum changed.,7.5
42,telaverge,File added to the system.,8.3
43,telaverge,Integrity checksum changed.,7.5
44,telaverge,Successful sudo to ROOT executed.,9.4
45,telaverge,File added to the system.,8.3
46,telaverge,PAM: Login session opened.,4.0
47,telaverge,New dpkg (Debian Package) installed.,8.9
48,telaverge,New dpkg (Debian Package) installed.,8.9
49,telaverge,New dpkg (Debian Package) installed.,8.9
50,telaverge,PAM: Login session closed.,2.3
51,Subhankar-Virtualbox,Wazuh agent disconnected.,1.3
52,telaverge,File added to the system.,8.3
53,telaverge,File added to the system.,8.3
54,telaverge,New dpkg (Debian Package) requested to install.,7.3
55,telaverge,Dpkg (Debian Package) half configured.,7.3
56,telaverge,Dpkg (Debian Package) half configured.,7.3
57,telaverge,Dpkg (Debian Package) half configured.,7.3
58,telaverge,Successful sudo to ROOT executed.,9.4
59,telaverge,Successful sudo to ROOT executed.,9.4
60,telaverge,PAM: Login session opened.,4.0
61,telaverge,Systemd: Service exited due to a failure.,2.0
62,telaverge,Systemd: Service exited due to a failure.,2.0
63,telaverge,PAM: Login session closed.,2.3
64,telaverge,PAM: Login session closed.,2.3
65,telaverge,Dpkg (Debian Package) half configured.,7.3
66,telaverge,Systemd: Service exited due to a failure.,2.0
67,telaverge,Systemd: Service exited due to a failure.,2.0
68,telaverge,PAM: Login session opened.,4.0
69,telaverge,Successful sudo to ROOT executed.,9.4
70,telaverge,File deleted.,8.0
71,telaverge,Dpkg (Debian Package) removed.,7.7
72,telaverge,Dpkg (Debian Package) removed.,7.7
73,telaverge,File deleted.,8.0
74,telaverge,File deleted.,8.0
75,telaverge,File deleted.,8.0
76,telaverge,File deleted.,8.0
77,telaverge,File deleted.,8.0
78,telaverge,New dpkg (Debian Package) installed.,8.9
79,telaverge,Dpkg (Debian Package) removed.,7.7
80,telaverge,File deleted.,8.0
81,telaverge,File deleted.,8.0
82,telaverge,New dpkg (Debian Package) installed.,8.9
83,telaverge,Dpkg (Debian Package) half configured.,7.3
84,telaverge,Dpkg (Debian Package) half configured.,7.3
85,telaverge,Dpkg (Debian Package) removed.,7.7
